end_price,image_urls,img_url,model,model_url,shops,start_price
29813,https://s.ek.ua/jpg/2222058.jpg,https://s.ek.ua/jpg/2222058.jpg,Samsung QE-43Q60B,https://ek.ua/ua/ua/SAMSUNG-QE-43Q60B.htm,"Sokol.ua,PermyCo,Hi-tech.com.ua,Ctrs.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Stylus.ua",14470
29813,https://s.ek.ua/jpg/2222058.jpg,https://s.ek.ua/jpg/2222058.jpg,Samsung QE-43Q60B,https://ek.ua/ua/ua/SAMSUNG-QE-43Q60B.htm,"Sokol.ua,PermyCo,Hi-tech.com.ua,Ctrs.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Stylus.ua",14470
53846,https://s.ek.ua/jpg/2258293.jpg,https://s.ek.ua/jpg/2258293.jpg,Philips 55PUS8807,https://ek.ua/ua/ua/PHILIPS-55PUS8807.htm,"PermyCo,Hi-tech.com.ua,Bt-hit.com.ua,Oleole.com.ua,Tomdom.prom.ua,Neolex.com.ua,Zhuk.ua",26000
53846,https://s.ek.ua/jpg/2258293.jpg,https://s.ek.ua/jpg/2258293.jpg,Philips 55PUS8807,https://ek.ua/ua/ua/PHILIPS-55PUS8807.htm,"PermyCo,Hi-tech.com.ua,Bt-hit.com.ua,Oleole.com.ua,Tomdom.prom.ua,Neolex.com.ua,Zhuk.ua",26000
33139,https://s.ek.ua/jpg/2222675.jpg,https://s.ek.ua/jpg/2222675.jpg,Philips 50PUS8507,https://ek.ua/ua/ua/PHILIPS-50PUS8507.htm,"PermyCo,АЛЛО,Hi-tech.com.ua,Ctrs.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Eldom.com.ua",21500
33139,https://s.ek.ua/jpg/2222675.jpg,https://s.ek.ua/jpg/2222675.jpg,Philips 50PUS8507,https://ek.ua/ua/ua/PHILIPS-50PUS8507.htm,"PermyCo,АЛЛО,Hi-tech.com.ua,Ctrs.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Eldom.com.ua",21500
25658,https://s.ek.ua/jpg/2216013.jpg,https://s.ek.ua/jpg/2216013.jpg,LG 43UQ7500,https://ek.ua/ua/ua/LG-43UQ7500.htm,"Sokol.ua,PermyCo,АЛЛО,Hi-tech.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Eldom.com.ua",11840
25658,https://s.ek.ua/jpg/2216013.jpg,https://s.ek.ua/jpg/2216013.jpg,LG 43UQ7500,https://ek.ua/ua/ua/LG-43UQ7500.htm,"Sokol.ua,PermyCo,АЛЛО,Hi-tech.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Eldom.com.ua",11840
42999,https://s.ek.ua/jpg/2201737.jpg,https://s.ek.ua/jpg/2201737.jpg,Samsung QE-55Q70B,https://ek.ua/ua/ua/SAMSUNG-QE-55Q70B.htm,"Sokol.ua,PermyCo,Hi-tech.com.ua,Ctrs.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Stylus.ua",23320
42999,https://s.ek.ua/jpg/2201737.jpg,https://s.ek.ua/jpg/2201737.jpg,Samsung QE-55Q70B,https://ek.ua/ua/ua/SAMSUNG-QE-55Q70B.htm,"Sokol.ua,PermyCo,Hi-tech.com.ua,Ctrs.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Stylus.ua",23320
